indice,nombres,precios
0,Sal Refisal Bolsa x 1000 g,$ 1.890
1,Aceite Diana vitaminas x3000ml,$ 33.990
2,Lenteja Diana x 500g,$ 3.890
3,Chocolate Resellable Corona x 500G,$ 5.912
4,Harina PAN Blanca x 1000 g,$ 4.190
5,Arroz Diana x 10 Kg,$ 35.890
6,Arroz Roa x 10kg,$ 42.990
7,Café Sello Rojo x 500g,$ 12.990
8,Azúcar blanco Providencia x 2.5 Kg,$ 8.290
9,Arroz cuisine&co blanco x10000g,$ 35.590
10,Azúcar Manuelita Alta Pureza x 2.5 kilo,$ 8.990
11,Atún En Agua Van Camps x 160g x 4und,$ 22.392
12,Atún Cuisine & Co lomitos en agua x160g,$ 4.790
13,Arroz Florhuila x 5kg,$ 20.990
14,Café Águila Roja x 500g,$ 12.890
15,Lenteja Maritza premium x 500 g,$ 3.990
16,Café Sello Rojo Tradicional x 600g,$ 12.590
17,Arroz Florhuila x 10 kg,$ 42.990
18,Chocolate La Especial x 500 G. x 16 Pastillas,$ 5.390
19,Arroz Supremo x 5 kg,$ 19.590
20,Azúcar providencia blanca x 500 g,$ 1.850
21,Aceite Premier girasol x 3000 ml gratis 500 ml,$ 51.590
22,Panela fonce pastilla x900g,$ 4.952
23,Lenteja cuisine&co x500g,$ 3.290
24,Arroz diana premium x10kg,$ 54.990
25,Harina De Trigo Tradicional Haz De Oros x 1000g,$ 4.390
26,Harina De Maíz Blanco Extrafina Doñarepa x 1000g,$ 4.690
27,Garbanzo diana seleccionados x500g,$ 3.890
28,Avena Quaker hojuelas original x 800 g gratis 160 g,$ 9.112
29,Café Nescafé Tradición x170g,$ 21.990
30,Aceite De Oliva Extra Virgen Ybarra x 3 Lt,$ 71.990
31,Vinagre cuisine&co blanco x4000ml,$ 13.790
32,Arroz roa blanco fortiplus x3000g,$ 12.690
33,Maiz pira diana crispetas alta calidad x500g,$ 2.990
34,Harina de trigo*500 g,$ 1.090
35,Chocolate corona resellable *20 pas. *500g,$ 5.912
36,Aceite Oleocali garrafa x 3000ml,$ 33.990
37,Aceite Diana premium girasol canola x1000ml,$ 16.590
38,Salsa Fruco de tomate doypack x1kg,$ 12.590
39,Harina De Trigo Tradicional Haz De Oros x 500g,$ 2.190
40,Aceite Gourmet Familia x 3000 cc,$ 48.990
41,Maiz San Jorge tierno x 190g,$ 3.690
42,Aceite Riquisimo garrafa x 3000ml,$ 32.190
43,Frijol Diana calima x 500g,$ 5.990
44,Atun cuisine&co lomo aceite soya x4undx160gc-u,$ 17.590
45,Atún Aceite Oliva 3und x 80g Van Camps,$ 14.990
46,Avena Don Pancho hojuelas x 1000 g gratis 200 g,$ 8.312
47,Sal marina Refisal bolsa x 800 g,$ 3.590
48,Azucar morena x2.5kg providencia,$ 9.390
49,Atun cuisine&co lomitos agua x4und x160g c-u,$ 17.590
50,Azúcar Manuelita Morena x 2.5 Kilos,$ 8.990
51,Arroz cuisine&co blanco x5000g,$ 17.990
52,Harina Diana maíz blanco x500g,$ 2.190
53,Arroz Diana x 3 Kg,$ 11.590
54,Lenteja Maritza premium x 1000 g,$ 7.690
55,Vinagre cuisine&co blanco x1000ml,$ 3.890
56,Pasta Spaghetti Pastas La muñeca x 1000g,$ 5.790
57,Frijol maritza bola roja premium x1000g,$ 11.590
58,Azúcar blanco Riopaila x 2500g,$ 8.790
59,Aceite vegetal fino soya girasol x 1.8l,$ 20.990
60,Azúcar Manuelita Alta Pureza x 1 Kilo,$ 3.590
61,Canela El Rey seleccionada x20g,$ 4.290
62,Frijol cuisine&co bola roja x500g,$ 4.890
63,Garbanzo cuisine&co x500g,$ 3.290
64,Aceite fino soya girasol x 1000ml,$ 12.590
65,Aceite Diana premium girasol canola x3000ml,$ 45.990
66,Lenteja cuisine&co x1kg,$ 6.390
67,Panela fonce pastilla x450g,$ 2.472
68,Garbanzo Maritza premium x 500g,$ 3.790
69,Harina La Nieve maíz blanco masapan x 1000 g,$ 2.590
70,"Azúcar Incauca Blanco Especial 2,5 kg",$ 9.390
71,Arveja Diana alta calidad x 500g,$ 2.590
72,Pasta La Muñeca spaghetti x1000g +gratis fideos La Muñeca x250g,$ 5.790
73,Harina Del Campo Precocida De Maíz Doñarepa x 1000g,$ 3.990
74,Atún Van Camps Lomitos Agua x 160g,$ 7.590
75,Aceite fino soya girasol x 3l,$ 32.790
76,Atún Baby En Aceite x 3und. x 80g Van Camps,$ 12.590
77,Arroz Diana Integral x 1000g,$ 5.790
78,Arroz Florhuila x 3 kg,$ 12.690
79,Arroz parbolizado Doña Pepa 1000g,$ 5.790
80,Azúcar blanco Riopaila x 5000g,$ 17.490
81,Chocolate Sol bajo azúcar cero colesterol x 16und x 320g,$ 6.990
82,Arroz Diana x 1 Kg,$ 3.890
83,Pasta Clásica Macarrón Corto Doria x 250 g.,$ 2.190
84,Panela fonce cuadri natural x750g,$ 3.992
85,Café Juan Valdez molido colina x454g,$ 26.990
86,Cereal Chocokrispis bolsa resellable x410g,$ 13.990
87,Bicarbonato de sodio El rey x 500g,$ 6.390
88,Café Juan Valdez clásico soluble liofilizado x250g,$ 30.350
89,Spaghetti Barilla N5 x500g,$ 7.990
90,Harina Pan integral blanca x 1000g,$ 4.190
91,Chocolate Clavos Canela Resellable Corona 16Und x 500Gr,$ 5.912
92,Atún Van Camps Lomitos Aceite x 160g,$ 7.590
93,Frijol cuisine&co caraota x500g,$ 3.690
94,Azúcar morena Riopaila x 2500g,$ 8.790
95,Aceite girasol premier garrafa x 3000 ml,$ 51.590
96,Café Buendía Clásico Soluble x 340G,$ 32.990
97,Harina De Trigo Integral Haz De Oros x 500g,$ 2.790
98,Arroz Supremo x 1000 g,$ 3.990
99,Salsa Barilla De Tomate Y Albahaca Extra Contenido X 500G,$ 11.990
100,Aceite Vegetal Riquisimo x 1000 cc,$ 11.590
101,Arroz Máxima x25 und x500g c-u,$ 39.990
102,Arroz Diana Premium x 4000 g,$ 22.990
103,Panela fonce pulverizada natural x500g,$ 3.592
104,Maíz Tierno San Jorge x 2 und.x 190 g,$ 8.990
105,Azúcar Manuelita Morena x 1 Kilo,$ 3.690
106,Pasta Clásica Cabello de Ángel Doria x 250 g.,$ 2.290
107,Pasta nissin ramen pollo x85g,$ 2.190
108,Atún La Soberana aceite girasol x3und x240g,$ 12.990
109,Aceite Gourmet Familia x 2000 cc,$ 36.990
110,Arroz casanare x 10 kg,$ 38.990
111,Pastas Monticello penne rigate x 500 g.,$ 7.590
112,Avena Why Not Hojuelas Sin Gluten Granoente x1000g,$ 17.272
113,Pasta Clásica Spaghetti Doria x 250 g.,$ 2.290
114,Frijol Diana cargamanto rojo x 500g,$ 5.990
115,Maiz Zenu dulce x 241g,$ 5.390
116,Aceite Gourmet x 5000ml,$ 77.990
117,Café Juan Valdez tostado molido cumbre x454g,$ 26.990
118,Atún Van Camps lomitos aceite oliva finas hierbas 3 unidades x 80 g c/u,$ 15.390
119,Cereal zucaritas ekonobolsa x410g,$ 14.190
120,Café Quindío Gourmet x 500G,$ 28.990
121,Atún Agua 3und x 80g Van Camps,$ 13.390
122,Harina De Trigo Tradicional Haz De Oros x 2500g,$ 8.190
123,Milo Bolsa x500g,$ 14.693
124,Arroz Supremo Premium x2500 g,$ 11.790
125,Mezcla Panelada panela limón x4 und x29g c/u,$ 3.990
126,Harina PAN Maíz Dulce x 1000 g,$ 7.590
127,Sal refisal light sodio x500g+salero x120gpr.esp,$ 8.990
128,Avena en hojuelas x 1000 g,$ 5.912
129,Aceite Diana vitaminas x 900 ml,$ 10.590
130,Café Oma Línea Selecta x 500G,$ 23.590
131,Chocolate Luker Amargo x 250G,$ 6.990
132,Aceite Diana premium girasol canola x2000ml,$ 32.290
133,Aceite vegetal fino soya girasol x 4.5L,$ 47.590
134,Café Grano Gourmet Quindío x 500G,$ 28.990
135,Pasta Clásica Tallarín Doria x 500 g.,$ 4.190
136,Pasta Monticello spaguetti x 1000 g.,$ 11.990
137,Aceite De Oliva Extra Virgen Ybarra x 1 Lt,$ 29.990
138,Aceite girasol premier garrafa x 2000 ml,$ 35.990
139,Cafe lukafe fuertex400g,$ 9.390
140,Azúcar morena Riopaila x 5000g,$ 17.590
141,Arroz Florhuila Platino Blanco x 2.5 Kg,$ 13.990
142,Atún Isabel lomitos en aceite de girasol x 160g,$ 7.990
143,Garbanzo diana seleccionados x1000g,$ 7.590
144,Milo Activ-Go bajo en azúcar x750g,$ 21.693
145,Arroz castellano premum jazmin x500g,$ 7.590
146,Café Juan Valdez Liofilizado Clásico x190g,$ 27.990
147,Café Lukafe Intenso x 500G,$ 14.590
148,Panela La Nocaimera pastilla x 1000 g,$ 6.390
149,Caldo Ricostilla desmenuzado x 9g c-u pague 10 lleve 12,$ 3.890
150,Sal marina Refisal duopack x 800 g c-u precio especial,$ 7.990
151,Chocolate corona clavos canela resellable*20p*500g,$ 5.912
152,Mezcla de chocolate Chocolisto x 440 g.,$ 10.390
153,Arroz blanco Máxima x5 kg,$ 16.390
154,Sardina Van Camps Premium Salsa Tomate x 225g,$ 5.390
155,Maiz pira cuisine&co x500g,$ 2.390
156,Aceite girasol Fino x 3000ml.,$ 45.990
157,Azúcar Incauca Blanco Especial 1 kg,$ 3.790
158,Aceite girasol premier Frasco x 1000 ml,$ 18.490
159,Frijol cuisine&co cargamanto rojo x500g,$ 5.990
160,Pasta Monticello fusilli x 500 g.,$ 7.590
161,Arroz supremo x 3000 g,$ 11.790
162,Arroz*5kg roa,$ 20.990
163,Aceite Riquisimo garrafa 5000ml,$ 53.990
164,Cereal milo econopack x380g,$ 11.990
165,Arroz Diana Premium x 2.5 Kg,$ 14.390
166,Arroz cuisine&co blanco x3000g,$ 10.990
167,Aromatica manzanilla hindu x 18 g,$ 3.590
168,Chocolate sol clavos canela azucar x500g,$ 7.190
169,Atún Van Camps lomitos aceite oliva x 4 und x 160 g c/u,$ 29.592
170,Mayonesa Fruco doypack x1kg,$ 15.590
171,Panela la gloria pastilla natural x500g,$ 3.390
172,Azucar Manuelita Organica x800g,$ 4.090
173,Harina De Trigo Con Polvo Para Hornear Haz De Oros x 1000g,$ 5.390
174,Frijol cuisine&co zaragoza x500g,$ 3.990
175,Chocolate Con Splenda Instantáneo Chocolyne X200G.,$ 9.390
176,Arroz Castellano x 2.5 kg,$ 20.990
177,Caldo Maggi desmenuzado especias x10 sobres x9g,$ 3.890
178,Barra cereal Tosh trozos arándanos nueces x 6 und x 138g,$ 8.190
179,Pasta Penne Rigate Barilla x500g,$ 8.590
180,Harina PAN Amarilla x 1000 g,$ 4.590
181,Cafe colcafe granulado x300g,$ 24.590
182,Base para pastas Salsa Bolognesa Maggi x50g,$ 3.690
183,Atun alamar bocados aceite x140g,$ 6.190
184,Café Juan Valdez Soluble Liofilizado Dulce De Leche x95g,$ 19.690
185,Cafe nescafe soluble dolca ahorra pack x247g,$ 19.990
186,Chocolate Vainilla La Especial X500G.X16 Pastillas,$ 5.990
187,Atún lomitos La Soberana agua x 140g,$ 5.790
188,Avena hojuela quaker x400gr,$ 3.832
189,Azúcar blanco Providencia x 1 kg,$ 3.690
190,Café Instantáneo Granulado Colcafé x 170 G.,$ 16.790
191,Frijol cuisine&co blanquillo x500g,$ 3.590
192,Frijoles Diana cargamanto seleccionados x 1000g,$ 11.990
193,Azúcar orgánica Providencia x850g,$ 3.990
194,Aceite gourmet familia frito experto x1000ml,$ 14.590
195,Atún La Soberana agua x3und x240g,$ 12.790
196,Arroz Casanare x 5 kg,$ 18.990
197,Pasta Macarrón con Salsa de Queso Doria x 210 g.,$ 4.190
198,Salsa Fruco tomate x 190g,$ 3.790
199,Capsulas dolce gusto americano x16und x10g c-u,$ 19.590
200,"Azúcar Incauca Morena 2,5 kg",$ 9.390
201,Aceite Canola life puro x 3L,$ 59.990
202,Salsa tomate Bary x1000g,$ 8.190
203,Arroz Roa 10 x 2.5Kg,$ 13.390
204,Cereal chocokrispis x 630g,$ 21.990
205,Atún Alamar bocados en agua x2und x140g c/u,$ 9.190
206,Milo active go doypack x250g,$ 7.693
207,Pasta Monticello fettuccine x 500 g.,$ 7.590
208,Café Juan Valdez Soluble Liofilizado Avellana X95g,$ 19.690
209,Vinagre kari blanco x3000cc,$ 9.990
210,Maiz Zenu dulce x 425g,$ 7.790
211,Pasta Spaghetti San remo x 1000g,$ 5.190
212,Pasta Tornillos Verduras Doria x 500 g.,$ 4.690
213,Harina Promasa Blanca x 1000 g,$ 4.490
214,Café Juan Valdez Liofilizado Vanicanela x95g,$ 19.990
215,Milo Bolsa x1100g,$ 29.253
216,Barra cereal Tosh chips chocolate x 6 und x 138g,$ 8.990
217,Arroz parbolizado Doña Pepa x 3000g,$ 17.590
218,Pasta Clásica Spaghetti Doria x 500 g.,$ 4.190
219,Panela fonce organica pulverizada x500g,$ 5.272
220,Café Águila Roja x 250G,$ 7.590
221,Sardina Cilíndrica Van Camps Abre fácil x 170g,$ 4.890
222,Aceite cuisine&co oliva extra virgen x500ml,$ 22.590
223,Café Tostado Molido Selección Oma x 250G,$ 12.690
224,Arroz Florhuila x 1 kg,$ 4.290
225,Cafe matiz 05 balanceado ambar tostado molidox340g,$ 20.190
226,Mayonesa Fruco receta artesanal x440g,$ 9.793
227,Aceite girasol Oleocali x3000ml,$ 43.590
228,Duraznos Cuisine & Co mitades almibar x820g,$ 8.990
229,Arroz blanco Diana Premium x 1000 g,$ 5.990
230,Café Instantáneo Clásico Colcafé x 500g,$ 30.390
231,Granola tropical Carolina x 500g,$ 6.390
232,Aceite cuisine&co oliva extra virgen x1l,$ 39.990
233,Cereal chocapic econopack x380g,$ 12.990
234,Salchichas Viena Zenu x 3 unidades x 150 g,$ 11.990
235,Pasta Lasagna Precocida Doria x 200g,$ 5.990
236,Café Juan Valdez Liofilizado Clásico x 50 G,$ 10.290
237,Salsa de tomate Fruco x 600g,$ 10.590
238,Salsa de tomate dp*1000g constancia,$ 10.590
239,Chocolate luker clavos canela azucar cana x500g,$ 6.890
240,Maiz pira tot premium x1000g,$ 7.590
241,Caldo Ricostilla Costilla x12 cubos x126g,$ 4.590
242,Café Instantáneo Clásico Colcafé x 85 G.,$ 9.590
243,Maiz cuisine&co dulce x3undx150gc-u,$ 9.590
244,Café Nescafé Tradición x85g,$ 14.990
245,Instacrem*430g refil,$ 9.793
246,Aceite De Oliva Puro Ybarra Pet x 3 L,$ 67.990
247,Chocolate Luker Light clavos canela x156.2g,$ 6.390
248,Cocoa Corona x 230G,$ 6.392
249,Pasta Monticello linguine x 500 g.,$ 7.590
250,Mostaza Fruco x 200 g. Presentación económica,$ 6.390
251,Atun cuisine&co lomitos aceite oliva x160g,$ 6.990
252,Fríjol Maritza bola roja premium x 500 g,$ 5.990
253,Atún Van Camps Lomitos Aceite Oliva x 160g,$ 9.590
254,Azúcar Incauca Morena 5 kg,$ 18.990
255,Café La Bastilla tostado molido fuerte x450g,$ 12.190
256,Atún Isabel claro lomitos agua x 160g,$ 7.990
257,Cereal froot loops x450g,$ 18.990
258,Café Águila Roja x 125G,$ 3.890
259,Arroz Castellano premium integral oryzica x 1000g,$ 8.390
260,Atun alamar bocados agua x140g,$ 6.190
261,Pasta De Tomate La Constancia doypack x 200g,$ 5.590
262,Kraft mayo 22 fl oz*650ml,$ 15.990
263,Salsa de tomate heinz x567g,$ 14.690
264,Pasta La Muneca paquetón x 6 und x 1500g,$ 8.190
265,Barra cereal Tosh frutas del bosque yogurt griego x 6unds x 162g,$ 9.790
266,Aceite Farchioni oliva extra virgen x1l,$ 40.990
267,Chocolate Corona x 250g,$ 3.432
268,Panela La Nocaimera pastilla x 2000 g,$ 12.990
269,Arvejas zenu zanahoria lata x2undx300g c-upr.esp.,$ 6.990
270,Cafe colcafe reservado instantaneo x170g,$ 16.990
271,Atún Light x3und. x 80g Van Camps,$ 14.390
272,Salsa fruco bbq artesanal x180g,$ 3.633
273,Granola tosh artesanal semillas chiax300g,$ 7.590
274,Atún Isabel lomitos aceite de girasol x 3und x 160g c-u,$ 19.990
275,Café Matiz Tostado Molido 07 Intenso Escarlata x 340g,$ 20.190
276,Salsa napolitana Barilla x400gr,$ 11.990
277,Salchichas Viena de Res x 150 g.,$ 4.390
278,Atún Alamar rallado en agua x2 unds x150g,$ 6.790
279,Cafe aguila roja*500g grano,$ 13.590
280,Atún Alamar rallado en aceite x2 unds x150g,$ 6.990
281,Cereal kelloggs corn flakes x700g,$ 18.590
282,Arroz parbolizado Doña Pepa x 5000g,$ 28.990
283,Atún Van Camps Con Vegetales x 125g,$ 15.590
284,Aceite Oleocali garrafa x 5000ml,$ 56.590
285,Café Instantáneo Clásico Colcafé x 170g,$ 14.590
286,Chocolate Sol x 500g,$ 7.190
287,Aceite oliva ybarra extra virgen picual x500ml,$ 19.990
288,Café Nescafé Tradición x50g,$ 8.990
289,"Azúcar Incauca Extrafina 2,5 kg",$ 9.790
290,Café Juan Valdez Liofilizado Chocolate x95g,$ 18.590
291,Pasta de tomate Fruco x200g,$ 5.390
292,Capsula nescafe dolce gusto capuccino x186g,$ 23.990
293,Café Colcafé Instant?Neo Cl?Sico x 250G,$ 20.590
294,Spaghettini Barilla x500g,$ 7.990
295,Salsa heinz tomate sin azc.añadido x369g,$ 9.990
296,Salsa Barilla genovesa x190g,$ 14.990
297,Aceite gourmet familia frito experto x2000ml,$ 27.990
298,Salsa barilla bolognesa x 400g,$ 13.990
299,Café Nescafé Dolca x170g,$ 20.590
300,Caldo De Gallina Deshidratado Maggi x 24 Cubos x 264 G.,$ 9.390
301,Vinagre de nigris sidra manzana organico x1000ml,$ 18.590
302,Mayonesa la constancia baja grasa x600g,$ 9.990
